City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,pasuquin,18.3328,120.6177,25.97,94,100,5.14,PH,1731618844
117,okakarara,-20.5833,17.4333,23.59,44,26,1.5,NA,1731618845
118,jamestown,42.097,-79.2353,5.01,87,100,4.12,US,1731618529
119,ilulissat,69.2167,-51.1,-7.99,57,0,1.54,GL,1731618847
120,aasiaat,68.7098,-52.8699,-15.24,98,71,3.24,GL,1731618850
121,mata-utu,-13.2816,-176.1745,27.69,80,78,10.07,WF,1731618851
122,east london,-33.0153,27.9116,17.56,84,94,5.86,ZA,1731618852
123,arraial do cabo,-22.9661,-42.0278,22.92,83,100,1.03,BR,1731618853
124,hammerfest,70.6634,23.6821,4.25,70,75,8.75,NO,1731618854
125,kavaratti,10.5669,72.642,28.14,76,100,3.03,IN,1731618855
126,beau vallon,-20.4189,57.6953,25.13,83,40,4.12,MU,1731618856
127,bondo,3.8146,23.6866,23.19,76,92,0.49,CD,1731618857
128,tongliao,43.6125,122.2653,4.24,83,0,2.35,CN,1731618859
129,linden,6.0,-58.3,29.49,65,100,1.28,GY,1731618825
130,hithadhoo,-0.6,73.0833,28.26,77,98,6.23,MV,1731618861
131,smithers,54.7804,-127.1743,5.18,87,75,3.09,CA,1731618862
132,mitu,1.1983,-70.1733,25.36,90,87,1.69,CO,1731618863
133,haiku-pauwela,20.9219,-156.3051,26.39,81,40,18.33,US,1731618864
134,forster,-32.1667,152.5167,19.65,97,93,3.81,AU,1731618651
135,tiksi,71.6872,128.8694,-23.73,100,98,0.62,RU,1731618866
136,kiama,-34.6833,150.8667,15.88,92,100,2.24,AU,1731618867
137,mastung,29.7994,66.845,11.18,39,0,1.18,PK,1731618870
138,mount pearl,47.5166,-52.7813,11.85,97,100,7.72,CA,1731618781
139,navrongo,10.8956,-1.0921,29.93,28,1,2.63,GH,1731618872
140,hasaki,35.7333,140.8333,19.92,79,100,7.56,JP,1731618873
141,namibe,-15.1961,12.1522,22.49,82,82,2.04,AO,1731618874
142,suva,-18.1416,178.4415,28.71,65,40,5.66,FJ,1731618875
143,alofi,-19.0595,-169.9187,25.94,69,75,9.26,NU,1731618876
144,naama,33.2667,-0.3167,14.75,45,2,6.35,DZ,1731618877
145,ust-nera,64.5667,143.2,-25.83,93,99,1.18,RU,1731618878
146,linhares,-19.3911,-40.0722,22.55,91,100,1.64,BR,1731618880
147,mejit,10.2753,170.8646,28.45,72,59,6.0,MH,1731618881
148,baillif,16.0202,-61.7463,28.06,74,17,1.56,GP,1731618882
149,ola,59.5833,151.2833,-16.9,79,48,4.04,RU,1731618883
150,olonkinbyen,70.9221,-8.7187,-3.4,96,100,8.55,SJ,1731618884
151,fonte boa,-2.4959,-66.2662,31.19,60,100,0.57,BR,1731618885
152,mugia,43.1041,-9.2179,13.28,74,13,5.32,ES,1731618886
153,codrington,-38.2667,141.9667,10.09,78,100,3.21,AU,1731618887
154,kyzyl-suu,42.3414,78.0056,-4.19,55,2,4.99,KG,1731618890
155,grand island,40.925,-98.342,17.23,35,0,7.2,US,1731618891
156,mossel bay,-34.1831,22.146,13.96,81,88,5.92,ZA,1731618892
157,prado,-17.3411,-39.2208,24.8,81,100,3.19,BR,1731618893
158,hadibu,12.65,54.0333,25.52,64,99,4.47,YE,1731618894
159,new norfolk,-42.7826,147.0587,10.51,67,92,0.67,AU,1731618895
160,inarajan village,13.2736,144.7484,27.54,90,89,4.96,GU,1731618896
161,ugento,39.9263,18.1574,13.04,87,7,2.14,IT,1731618897
162,lhokseumawe,5.1801,97.1507,25.32,83,100,1.53,ID,1731618898
163,bethanie,-26.4833,17.15,26.57,12,0,3.06,NA,1731618900
164,portland,45.5234,-122.6762,12.91,82,75,5.14,US,1731618901
165,vilyuchinsk,52.9306,158.4028,-12.85,83,6,4.33,RU,1731618902
166,udachny,66.4167,112.4,-27.38,99,86,3.18,RU,1731618675
167,college,64.8569,-147.8028,-18.29,78,0,2.06,US,1731618778
168,yuzhno-kurilsk,44.0306,145.8556,6.24,73,100,3.86,RU,1731618905
169,greymouth,-42.4667,171.2,14.12,97,100,4.69,NZ,1731618906
170,susuman,62.7833,148.1667,-24.05,99,99,0.62,RU,1731618907
171,tabou,4.423,-7.3528,25.37,88,2,2.16,CI,1731618768
172,kingston,17.997,-76.7936,29.53,80,74,1.06,JM,1731618645
173,sao vicente,-23.9631,-46.3919,21.08,34,100,3.58,BR,1731618911
174,callao,-12.0667,-77.15,22.16,64,0,5.14,PE,1731618701
175,ribeira grande,38.5167,-28.7,18.22,59,40,5.36,PT,1731618913
176,batac city,18.0554,120.5649,25.88,94,100,5.14,PH,1731618914
177,okhotsk,59.3833,143.3,-16.21,73,84,5.31,RU,1731618915
178,walvis bay,-22.9575,14.5053,16.46,79,13,1.36,NA,1731618916
179,hotan,37.0997,79.9269,7.0,40,36,0.92,CN,1731618706
180,saskatoon,52.1168,-106.6345,3.99,86,100,4.12,CA,1731618918
181,sao gabriel da cachoeira,-0.1303,-67.0892,30.05,60,88,2.3,BR,1731618920
182,kavieng,-2.5744,150.7967,28.32,69,21,5.47,PG,1731618921
183,carolina beach,34.0352,-77.8936,18.34,93,100,0.45,US,1731618812
184,geraldton,-28.7667,114.6,19.23,77,100,3.6,AU,1731618923
185,sturgeon bay,44.8342,-87.377,8.2,93,100,4.12,US,1731618924
186,premia de mar,41.4921,2.3652,14.97,64,0,1.34,ES,1731618723
187,lagos,6.5833,3.75,26.06,91,95,2.01,NG,1731618926
188,afaahiti,-17.75,-149.2833,24.13,81,100,3.11,PF,1731618927
189,juneau,58.3019,-134.4197,4.0,81,100,3.6,US,1731618928
190,queenstown,-31.8976,26.8753,12.79,86,52,1.82,ZA,1731618931
191,lebu,-37.6167,-73.65,15.22,84,100,3.13,CL,1731618932
192,laojunmiao,39.8333,97.7333,-2.38,86,100,1.41,CN,1731618933
193,pangody,65.85,74.4859,-17.76,91,100,7.7,RU,1731618935
194,williams lake,52.1415,-122.1445,6.14,83,100,2.06,CA,1731618889
195,sisimiut,66.9395,-53.6735,-3.92,79,99,4.55,GL,1731618937
196,makhjan,17.2698,73.5003,24.83,79,100,1.52,IN,1731618938
197,port blair,11.6667,92.75,26.61,80,72,2.04,IN,1731618939
198,qaqortoq,60.7167,-46.0333,-11.03,59,4,2.82,GL,1731618941
199,dali,25.7,100.1833,8.82,75,0,1.04,CN,1731618942
200,port mathurin,-19.6833,63.4167,24.35,77,20,6.54,MU,1731618944
201,fort mcmurray,56.7268,-111.381,-3.23,80,75,3.6,CA,1731618716
